                Node       Longitude        Latitude
         Boundary1st     -123.023421       49.269459
    BoundaryHastings     -123.023351       49.281132
       BroadwayClark     -123.077599       49.262378
          Cambie41st     -123.116058       49.233520
      CambieBroadway     -123.114716       49.263235
            Clark1st     -123.077314       49.269678
            Downtown     -123.121405       49.280311
       Granville41st     -123.139608       49.234332
   GranvilleBroadway     -123.138557       49.263650
       HastingsClark     -123.077084       49.281288
    KingswayBoundary     -123.023402       49.232366
    KingswayBroadway     -123.099390       49.262858
      KingswayKnight     -123.076010       49.250010
          Knight41st     -123.077128       49.232768
        KnightMarine     -123.077432       49.211766
    LougheedBoundary     -123.023430       49.265659
        MainTerminal     -123.099939       49.272719
          Marine41st     -123.196651       49.234806
      MarineBoundary     -123.023368       49.205501
        MarineCambie     -123.117060       49.210233
     MarineGranville     -123.140394       49.205333
           MarineOak     -123.130434       49.204675
             Oak41st     -123.128054       49.234009
         OakBroadway     -123.126579       49.263357
                 UBC     -123.252496       49.264878
