                   i                   j            Flow        capacity
         Boundary1st    BoundaryHastings               0             200
         Boundary1st    BoundaryHastings               0             200
         Boundary1st            Clark1st               0               0
         Boundary1st            Clark1st               0               0
         Boundary1st    LougheedBoundary               0             200
         Boundary1st    LougheedBoundary               0             200
    BoundaryHastings         Boundary1st               0             200
    BoundaryHastings         Boundary1st               0             200
    BoundaryHastings       HastingsClark               0             600
    BoundaryHastings       HastingsClark               0             600
       BroadwayClark            Clark1st               0             600
       BroadwayClark            Clark1st               0             600
       BroadwayClark    KingswayBroadway               0            2600
       BroadwayClark    KingswayBroadway               0            2600
       BroadwayClark      KingswayKnight               0             600
       BroadwayClark      KingswayKnight               0             600
       BroadwayClark    LougheedBoundary               0             600
       BroadwayClark    LougheedBoundary               0             600
          Cambie41st      CambieBroadway            1500            2600
          Cambie41st      CambieBroadway             600            2600
          Cambie41st          Knight41st               0             600
          Cambie41st          Knight41st               0             600
          Cambie41st        MarineCambie               0            2600
          Cambie41st        MarineCambie               0            2600
          Cambie41st             Oak41st               0             600
          Cambie41st             Oak41st             200             600
      CambieBroadway          Cambie41st               0            2600
      CambieBroadway          Cambie41st               0            2600
      CambieBroadway            Downtown            1500            2900
      CambieBroadway            Downtown               0            2900
      CambieBroadway    KingswayBroadway               0            2600
      CambieBroadway    KingswayBroadway               0            2600
      CambieBroadway         OakBroadway               0            2900
      CambieBroadway         OakBroadway            1700            2900
            Clark1st         Boundary1st               0               0
            Clark1st         Boundary1st               0               0
            Clark1st       BroadwayClark               0             600
            Clark1st       BroadwayClark               0             600
            Clark1st       HastingsClark               0               0
            Clark1st       HastingsClark               0               0
            Clark1st        MainTerminal               0             600
            Clark1st        MainTerminal               0             600
            Downtown      CambieBroadway               0            2900
            Downtown      CambieBroadway               0            2900
            Downtown   GranvilleBroadway               0             900
            Downtown   GranvilleBroadway             900             900
            Downtown       HastingsClark               0             600
            Downtown       HastingsClark               0             600
            Downtown        MainTerminal               0            5700
            Downtown        MainTerminal               0            5700
       Granville41st   GranvilleBroadway             500             600
       Granville41st   GranvilleBroadway               0             600
       Granville41st          Marine41st               0            1400
       Granville41st          Marine41st            1400            1400
       Granville41st     MarineGranville               0            1400
       Granville41st     MarineGranville               0            1400
       Granville41st             Oak41st               0             600
       Granville41st             Oak41st               0             600
   GranvilleBroadway            Downtown             500             900
   GranvilleBroadway            Downtown               0             900
   GranvilleBroadway       Granville41st               0             600
   GranvilleBroadway       Granville41st               0             600
   GranvilleBroadway         OakBroadway               0            2600
   GranvilleBroadway         OakBroadway               0            2600
   GranvilleBroadway                 UBC               0            2900
   GranvilleBroadway                 UBC            2600            2900
       HastingsClark    BoundaryHastings               0             600
       HastingsClark    BoundaryHastings               0             600
       HastingsClark            Clark1st               0               0
       HastingsClark            Clark1st               0               0
       HastingsClark            Downtown               0             600
       HastingsClark            Downtown               0             600
    KingswayBoundary      KingswayKnight            3000            5100
    KingswayBoundary      KingswayKnight            2000            5100
    KingswayBoundary          Knight41st               0             600
    KingswayBoundary          Knight41st               0             600
